,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,212600,70,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,0.0327,116.998,4
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231833,71,0.0885,0.733,0.733,0.0,0.168,-5.376,0.067,96.057,4
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231000,73,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,4
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,235800,71,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,0.0447,92.021,4
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,193289,70,0.000656,0.588,0.721,0.0,0.131,-5.579,0.0317,96.997,4
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,219209,70,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,0.0729,160.058,4
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,207650,69,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,0.0439,118.009,4
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,211103,69,0.0362,0.618,0.683,0.0,0.305,-6.438,0.194,169.971,4
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,220433,70,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,0.0656,139.985,4
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,247533,69,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,0.0515,119.997,4
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,250100,68,0.316,0.471,0.509,0.0,0.0673,-8.796,0.0355,144.071,4
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,195700,69,0.0999,0.582,0.788,0.0,0.115,-5.358,0.0445,160.027,4
12,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,271000,70,0.25,0.772,0.391,2.92e-05,0.0981,-8.892,0.0293,103.955,4
13,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,245566,69,0.00976,0.464,0.705,2.61e-05,0.209,-5.97,0.0434,183.892,4
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,267389,69,0.61,0.363,0.498,3.91e-06,0.112,-9.473,0.0755,84.68,4
15,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,230177,70,0.00675,0.649,0.846,4.63e-06,0.0824,-5.958,0.0602,121.978,4
16,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],2023-10-27,180381,74,0.309,0.591,0.412,0.000199,0.0608,-13.27,0.0863,155.875,4
17,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,279833,73,0.066,0.633,0.551,9.94e-06,0.127,-8.297,0.0341,109.95,4
18,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,146436,74,0.16,0.8,0.501,7.14e-05,0.0874,-9.332,0.034,110.013,4
19,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,171818,70,0.207,0.701,0.625,0.0,0.105,-8.804,0.036,118.036,4
20,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,229477,77,0.041,0.595,0.656,0.0,0.122,-7.343,0.037,99.994,4
21,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,199773,78,0.0104,0.602,0.648,0.0,0.217,-6.905,0.103,170.091,4
22,Welcome To New York (Taylor's Version),1989 (Taylor's Version),2023-10-26,212600,81,0.00961,0.761,0.607,2.24e-05,0.367,-4.83,0.0312,116.98,4
23,Blank Space (Taylor's Version),1989 (Taylor's Version),2023-10-26,231833,85,0.0976,0.737,0.725,0.0,0.174,-5.417,0.0641,96.012,4
24,Style (Taylor's Version),1989 (Taylor's Version),2023-10-26,231000,86,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,4
25,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),2023-10-26,235800,82,0.000512,0.547,0.885,9.37e-05,0.39,-5.961,0.0418,91.992,4
26,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2023-10-26,193289,79,0.000718,0.586,0.72,0.0,0.0949,-5.556,0.035,97.057,4
27,Shake It Off (Taylor's Version),1989 (Taylor's Version),2023-10-26,219209,82,0.0103,0.632,0.807,1.27e-05,0.29,-5.676,0.0738,160.055,4
28,I Wish You Would (Taylor's Version),1989 (Taylor's Version),2023-10-26,207650,78,0.00357,0.669,0.851,1.04e-05,0.0676,-6.526,0.0432,118.026,4
29,Bad Blood (Taylor's Version),1989 (Taylor's Version),2023-10-26,211103,79,0.0385,0.619,0.686,0.0,0.307,-6.369,0.164,169.943,4
30,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),2023-10-26,220433,84,0.0411,0.581,0.672,9.35e-05,0.118,-7.415,0.0739,140.061,4
31,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),2023-10-26,247533,76,0.00209,0.754,0.682,9.88e-06,0.0941,-5.789,0.0565,120.027,4
32,This Love (Taylor’s Version),1989 (Taylor's Version),2023-10-26,250100,77,0.299,0.474,0.511,0.0,0.0673,-8.766,0.0339,144.022,4
33,I Know Places (Taylor's Version),1989 (Taylor's Version),2023-10-26,195700,76,0.087,0.575,0.803,0.0,0.0971,-5.393,0.0465,160.039,4
34,Clean (Taylor's Version),1989 (Taylor's Version),2023-10-26,271000,79,0.276,0.771,0.386,2.01e-05,0.121,-8.917,0.0297,103.96,4
35,Wonderland (Taylor's Version),1989 (Taylor's Version),2023-10-26,245566,76,0.00933,0.462,0.708,1.88e-05,0.198,-5.971,0.0555,183.811,4
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),2023-10-26,267389,77,0.609,0.537,0.495,2.49e-06,0.112,-9.416,0.0573,84.948,4
37,New Romantics (Taylor's Version),1989 (Taylor's Version),2023-10-26,230177,82,0.0068,0.651,0.855,9.81e-06,0.0759,-5.959,0.0538,121.98,4
38,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),2023-10-26,180381,88,0.345,0.629,0.413,7.62e-05,0.0603,-13.178,0.055,77.983,4
39,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,279833,84,0.0656,0.626,0.547,1.67e-05,0.149,-8.285,0.0342,109.946,4
40,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,146436,87,0.186,0.793,0.512,3.81e-05,0.0889,-9.319,0.0338,109.994,4
41,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,171818,78,0.198,0.699,0.621,0.0,0.104,-8.739,0.0369,118.048,4
42,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,229477,92,0.0504,0.596,0.658,0.0,0.127,-7.346,0.036,100.012,4
43,Mine (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,231706,82,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,4
44,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,261230,79,0.0251,0.588,0.758,0.0,0.131,-2.347,0.0305,114.991,4
45,Back To December (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,294189,83,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,4
46,Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,242473,77,0.248,0.727,0.677,0.0,0.143,-2.871,0.0325,118.995,4
47,Dear John (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,405906,78,0.0236,0.419,0.47,0.0,0.163,-5.016,0.0296,119.294,3
48,Mean (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,238693,78,0.311,0.524,0.692,0.0,0.192,-3.866,0.0369,163.874,4
49,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,267653,77,0.00192,0.515,0.781,0.0,0.054,-2.608,0.0535,139.846,4
50,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,292920,72,0.851,0.685,0.323,0.0,0.198,-7.103,0.0289,125.058,4
51,Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,353253,87,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,4
52,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,220306,78,0.000886,0.496,0.885,0.0,0.191,-2.969,0.0803,145.863,4
53,Innocent (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,301221,70,0.101,0.522,0.598,0.0,0.152,-5.327,0.0284,133.627,4
54,Haunted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,245413,75,0.00667,0.427,0.915,0.0,0.221,-1.909,0.0619,162.201,4
55,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,369120,76,0.447,0.55,0.366,4.43e-06,0.101,-8.46,0.0276,79.401,3
56,Long Live (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,317960,81,0.0122,0.375,0.65,0.0,0.189,-4.031,0.0402,203.89,4
57,Ours (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,235803,73,0.449,0.535,0.488,0.0,0.111,-8.261,0.0278,159.813,4
58,Superman (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,274945,69,0.0031,0.533,0.742,0.0,0.108,-3.473,0.0303,131.93,4
59,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,266466,75,0.0164,0.547,0.855,0.0,0.144,-4.7,0.0597,131.073,4
60,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,252385,74,0.159,0.474,0.763,0.0,0.138,-4.632,0.0505,78.133,4
61,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,273186,83,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,4
62,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,306062,74,0.362,0.576,0.57,0.0,0.0668,-7.925,0.0434,147.803,4
63,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,311765,76,0.617,0.671,0.588,0.0,0.111,-4.675,0.0299,96.965,4
64,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,321396,76,0.3,0.624,0.585,0.0,0.0916,-5.847,0.0328,142.883,4
65,Lavender Haze,Midnights (The Til Dawn Edition),2023-05-26,202395,71,0.236,0.735,0.454,0.00113,0.133,-10.516,0.0876,97.043,4
66,Maroon,Midnights (The Til Dawn Edition),2023-05-26,218270,71,0.0609,0.65,0.397,1.4e-06,0.089,-8.237,0.0365,108.055,4
67,Anti-Hero,Midnights (The Til Dawn Edition),2023-05-26,200690,71,0.115,0.637,0.649,1.22e-06,0.147,-6.59,0.0584,96.935,4
68,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),2023-05-26,256124,69,0.705,0.653,0.331,0.0013,0.116,-13.534,0.039,110.014,4
69,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),2023-05-26,194206,72,0.423,0.694,0.386,1.05e-05,0.126,-10.312,0.0597,120.044,4
70,Midnight Rain,Midnights (The Til Dawn Edition),2023-05-26,174782,71,0.705,0.654,0.372,6.78e-05,0.114,-11.704,0.0667,140.15,4
71,Question...?,Midnights (The Til Dawn Edition),2023-05-26,210556,69,0.205,0.741,0.509,0.0,0.262,-8.747,0.19,108.978,4
72,Vigilante Shit,Midnights (The Til Dawn Edition),2023-05-26,164801,70,0.157,0.867,0.272,3.42e-05,0.118,-11.014,0.363,79.962,4
73,Bejeweled,Midnights (The Til Dawn Edition),2023-05-26,194165,71,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164.0,4
74,Labyrinth,Midnights (The Til Dawn Edition),2023-05-26,247962,69,0.804,0.493,0.308,0.328,0.123,-15.489,0.0436,109.993,4
75,Karma,Midnights (The Til Dawn Edition),2023-05-26,204852,70,0.0782,0.647,0.614,0.0,0.611,-7.091,0.0651,90.034,4
76,Sweet Nothing,Midnights (The Til Dawn Edition),2023-05-26,188496,68,0.967,0.335,0.166,0.00012,0.115,-14.958,0.048,175.917,4
77,Mastermind,Midnights (The Til Dawn Edition),2023-05-26,191039,70,0.545,0.661,0.345,0.000915,0.0871,-14.037,0.144,125.977,4
78,The Great War,Midnights (The Til Dawn Edition),2023-05-26,240355,70,0.203,0.573,0.737,2.78e-05,0.0851,-9.002,0.0352,96.009,4
79,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),2023-05-26,218502,68,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,4
80,Paris,Midnights (The Til Dawn Edition),2023-05-26,196258,68,0.116,0.691,0.498,3.07e-05,0.136,-10.519,0.101,110.963,4
81,High Infidelity,Midnights (The Til Dawn Edition),2023-05-26,231475,67,0.726,0.564,0.545,0.0,0.0878,-10.17,0.104,176.082,4
82,Glitch,Midnights (The Til Dawn Edition),2023-05-26,148781,66,0.318,0.677,0.451,0.0,0.11,-9.744,0.19,140.845,4
83,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),2023-05-26,260361,69,0.435,0.482,0.837,0.00147,0.123,-6.501,0.12,157.96,4
84,Dear Reader,Midnights (The Til Dawn Edition),2023-05-26,225194,67,0.497,0.475,0.386,0.00104,0.119,-12.038,0.0737,107.601,4
85,Hits Different,Midnights (The Til Dawn Edition),2023-05-26,234466,81,0.148,0.672,0.782,4.73e-06,0.296,-6.499,0.0421,106.026,4
86,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),2023-05-26,229942,82,0.806,0.664,0.401,3.5e-06,0.108,-10.934,0.0344,109.846,4
87,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),2023-05-26,201493,74,0.0623,0.615,0.616,0.0,0.579,-6.523,0.0622,89.977,4
88,Lavender Haze,Midnights (3am Edition),2022-10-22,202395,69,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,97.038,4
89,Maroon,Midnights (3am Edition),2022-10-22,218270,69,0.0593,0.658,0.378,0.0,0.0976,-8.3,0.0379,108.034,4
90,Anti-Hero,Midnights (3am Edition),2022-10-22,200690,70,0.133,0.638,0.634,1.23e-06,0.152,-6.582,0.0457,96.953,4
91,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022-10-22,256124,69,0.735,0.659,0.323,0.00321,0.116,-13.425,0.0436,110.007,4
92,"You're On Your Own, Kid",Midnights (3am Edition),2022-10-22,194206,70,0.416,0.694,0.38,8.47e-06,0.126,-10.307,0.0614,120.044,4
93,Midnight Rain,Midnights (3am Edition),2022-10-22,174782,70,0.71,0.636,0.377,6.51e-05,0.115,-11.721,0.0708,139.966,4
94,Question...?,Midnights (3am Edition),2022-10-22,210556,66,0.226,0.751,0.502,0.0,0.297,-8.777,0.162,108.989,4
95,Vigilante Shit,Midnights (3am Edition),2022-10-22,164801,69,0.16,0.87,0.279,1.74e-05,0.121,-11.134,0.364,79.996,4
96,Bejeweled,Midnights (3am Edition),2022-10-22,194165,70,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,4
97,Labyrinth,Midnights (3am Edition),2022-10-22,247962,67,0.791,0.487,0.313,0.348,0.124,-15.434,0.0487,110.039,4
98,Karma,Midnights (3am Edition),2022-10-22,204852,75,0.074,0.649,0.622,0.0,0.594,-7.054,0.0582,90.024,4
99,Sweet Nothing,Midnights (3am Edition),2022-10-22,188496,68,0.967,0.334,0.161,4.71e-05,0.115,-14.875,0.0506,176.747,4
100,Mastermind,Midnights (3am Edition),2022-10-22,191039,74,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,125.934,4
101,The Great War,Midnights (3am Edition),2022-10-22,240355,76,0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,96.016,4
102,Bigger Than The Whole Sky,Midnights (3am Edition),2022-10-22,218502,74,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,4
103,Paris,Midnights (3am Edition),2022-10-22,196258,72,0.112,0.7,0.509,3.27e-05,0.137,-10.547,0.0789,110.947,4
104,High Infidelity,Midnights (3am Edition),2022-10-22,231475,72,0.723,0.646,0.529,0.0,0.0885,-10.179,0.0864,87.862,4
105,Glitch,Midnights (3am Edition),2022-10-22,148781,70,0.361,0.675,0.466,0.0,0.11,-9.738,0.201,140.864,4
106,"Would've, Could've, Should've",Midnights (3am Edition),2022-10-22,260361,75,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,4
107,Dear Reader,Midnights (3am Edition),2022-10-22,225194,72,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,4
108,Lavender Haze,Midnights,2022-10-21,202395,84,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,4
109,Maroon,Midnights,2022-10-21,218270,79,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,4
110,Anti-Hero,Midnights,2022-10-21,200690,93,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,4
111,Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,256124,77,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,4
112,"You're On Your Own, Kid",Midnights,2022-10-21,194206,85,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,4
113,Midnight Rain,Midnights,2022-10-21,174782,85,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,4
114,Question...?,Midnights,2022-10-21,210556,75,0.2,0.751,0.502,0.0,0.296,-8.763,0.167,108.943,4
115,Vigilante Shit,Midnights,2022-10-21,164801,81,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,4
116,Bejeweled,Midnights,2022-10-21,194165,84,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,4
117,Labyrinth,Midnights,2022-10-21,247962,77,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,4
118,Karma,Midnights,2022-10-21,204852,88,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,4
119,Sweet Nothing,Midnights,2022-10-21,188496,77,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,4
120,Mastermind,Midnights,2022-10-21,191039,78,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,4
121,State Of Grace (Taylor's Version),Red (Taylor's Version),2021-11-12,295413,72,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,4
122,Red (Taylor's Version),Red (Taylor's Version),2021-11-12,223093,80,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,4
123,Treacherous (Taylor's Version),Red (Taylor's Version),2021-11-12,242720,72,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,4
124,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021-11-12,219760,81,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,4
125,All Too Well (Taylor's Version),Red (Taylor's Version),2021-11-12,329160,77,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,4
126,22 (Taylor's Version),Red (Taylor's Version),2021-11-12,230960,80,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,4
127,I Almost Do (Taylor's Version),Red (Taylor's Version),2021-11-12,244586,71,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,4
128,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021-11-12,193146,81,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,4
129,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021-11-12,205786,71,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,4
130,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021-11-12,299080,74,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,4
131,Holy Ground (Taylor's Version),Red (Taylor's Version),2021-11-12,202960,71,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,4
132,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021-11-12,284773,72,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,3
133,The Lucky One (Taylor's Version),Red (Taylor's Version),2021-11-12,240466,70,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,4
134,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),2021-11-12,245426,76,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,4
135,Starlight (Taylor's Version),Red (Taylor's Version),2021-11-12,220413,70,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,4
136,Begin Again (Taylor's Version),Red (Taylor's Version),2021-11-12,238866,73,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,4
137,The Moment I Knew (Taylor's Version),Red (Taylor's Version),2021-11-12,285280,70,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,4
138,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021-11-12,223333,73,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,4
139,Girl At Home (Taylor's Version),Red (Taylor's Version),2021-11-12,220520,68,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,4
140,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),2021-11-12,321640,67,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,3
141,Ronan (Taylor's Version),Red (Taylor's Version),2021-11-12,264253,65,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,4
142,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,297013,74,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,4
143,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,258812,78,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,4
144,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,224240,74,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,4
145,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,225960,74,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,4
146,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,285106,77,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,3
147,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,263533,70,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,4
148,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,240226,71,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,4
149,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,200280,76,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,4
150,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,613026,87,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,4
151,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,84,0.0122,0.569,0.741,0.0,0.333,-4.963,0.0282,100.118,4
152,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,73,0.116,0.559,0.646,0.0,0.32,-4.61,0.0272,95.466,4
153,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,83,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,4
154,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,72,0.106,0.788,0.571,0.0,0.0934,-6.135,0.0296,115.99,4
155,White Horse (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,234515,73,0.369,0.423,0.517,0.0,0.177,-7.377,0.0486,185.262,4
156,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,231124,86,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,4
157,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,263377,69,0.156,0.506,0.626,0.0,0.228,-6.066,0.0287,148.035,4
158,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,200575,68,0.0222,0.578,0.909,0.0,0.333,-3.669,0.0628,100.023,4
159,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,261842,71,0.0538,0.506,0.444,0.0,0.123,-4.99,0.0285,133.873,4
160,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,243136,82,0.0033,0.402,0.732,0.0,0.108,-4.665,0.0484,161.032,4
161,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,225328,73,0.0231,0.598,0.821,0.0,0.143,-4.433,0.0447,128.03,4
162,The Best Day (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,245290,68,0.488,0.642,0.576,0.0,0.159,-8.524,0.0282,125.0,4
163,Change (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,279359,67,0.000191,0.499,0.815,0.0,0.181,-4.063,0.0341,95.999,4
164,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,237580,69,0.0474,0.572,0.69,0.0,0.0897,-6.201,0.0358,160.111,4
165,Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,312107,69,0.0181,0.393,0.531,0.0,0.169,-6.112,0.0329,200.391,4
166,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,267833,68,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,118.753,4
167,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,237338,66,0.0406,0.476,0.564,0.0,0.102,-5.677,0.0269,143.929,4
168,Superstar (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,263865,65,0.157,0.454,0.555,0.0,0.343,-6.69,0.0283,171.862,4
169,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,238443,70,0.0279,0.432,0.873,0.0,0.167,-4.367,0.0577,163.936,4
170,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241822,69,0.0135,0.482,0.779,0.0,0.296,-5.025,0.0409,158.162,4
171,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,220839,67,0.816,0.599,0.494,0.0,0.101,-7.61,0.0372,142.893,4
172,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,277591,77,0.162,0.66,0.817,0.0,0.0667,-6.269,0.0521,135.942,4
173,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,244236,68,0.849,0.609,0.373,0.0,0.0779,-8.819,0.0263,106.007,4
